timestamp,economic,commercial air traffic,walmart
12/22/2013 07:50,342.529928575,385.916297586,594.819630872
12/22/2013 08:00,336.121784063,369.99080908,589.513422819
12/22/2013 08:10,336.121784063,369.99080908,590.310402685
12/22/2013 08:20,336.121784063,369.99080908,591.883389262
12/22/2013 08:30,336.121784063,369.99080908,591.967281879
12/22/2013 08:40,336.121784063,361.205640115,587.143456376
12/22/2013 09:00,333.381578994,358.960556207,582.73909396
12/22/2013 09:10,336.121784063,361.205640115,579.551174497
12/22/2013 09:20,351.405905529,361.205640115,581.627516779
12/22/2013 09:30,236.972312056,264.03214092,381.354865772
12/22/2013 09:50,251.723725439,264.00649046,386.493288591
12/22/2013 10:00,251.723725439,264.00649046,371.875
12/22/2013 10:10,231.786034366,257.471171264,367.764261745
12/22/2013 10:20,227.181118738,255.148901264,363.65352349
12/22/2013 10:30,227.181118738,255.148901264,362.248322148
12/22/2013 10:40,227.181118738,255.148901264,359.291107383
12/22/2013 10:50,226.713486368,254.679877126,358.976510067
12/22/2013 11:00,226.367293349,254.487884253,357.466442953
12/22/2013 11:10,241.651414815,254.487884253,352.495805369
12/22/2013 11:20,225.548146177,254.001668046,350.083892617
12/22/2013 11:30,225.548146177,254.001668046,350.209731544
12/22/2013 11:40,219.024674624,250.963096322,330.180369128
12/22/2013 11:50,219.370867643,251.155089195,331.459731544
12/22/2013 12:00,219.370867643,251.155089195,331.291946309
12/22/2013 12:10,224.348870452,243.936803563,326.027684564
12/22/2013 12:20,209.064748986,243.936803563,323.720637584
12/22/2013 12:30,189.243794868,232.863924598,303.628355705
12/22/2013 13:00,206.070402274,233.619675402,302.013422819
12/22/2013 13:10,190.562529559,233.414308046,293.183724832
12/22/2013 13:30,190.562529559,233.414308046,290.394295302
12/22/2013 13:40,190.562529559,233.414308046,289.261744966
12/22/2013 13:50,190.562529559,233.414308046,289.261744966
12/22/2013 14:00,190.562529559,233.414308046,284.899328859
12/22/2013 14:10,190.562529559,233.414308046,283.389261745
12/22/2013 14:20,190.21633654,233.222315172,282.466442953
12/22/2013 14:30,190.21633654,233.222315172,282.466442953
12/22/2013 14:40,190.21633654,233.222315172,283.787751678
12/22/2013 14:50,190.21633654,233.222315172,281.291946309
12/22/2013 15:00,190.21633654,233.222315172,282.109899329
12/22/2013 15:20,197.315864671,250.112950345,288.590604027
12/22/2013 15:30,186.701441159,221.338742989,278.062080537
12/22/2013 15:40,186.701441159,221.338742989,274.958053691
12/22/2013 15:50,184.6144789,219.961469885,275.922818792
12/22/2013 16:00,184.6144789,219.961469885,273.804530201
12/22/2013 16:10,184.6144789,219.961469885,274.140100671
12/22/2013 16:20,185.460063845,220.595628736,277.118288591
12/22/2013 16:30,186.146745061,220.915478391,278.46057047
12/22/2013 16:50,187.700673244,222.272998966,280.012583893
12/22/2013 17:00,187.700673244,222.272998966,280.453020134
12/22/2013 17:10,187.009289624,221.598607471,279.802852349
12/22/2013 17:20,187.009289624,221.598607471,278.292785235
12/22/2013 17:30,187.009289624,221.598607471,278.544463087
12/22/2013 17:40,187.009289624,221.598607471,278.544463087
12/22/2013 17:50,187.009289624,221.598607471,277.411912752
12/22/2013 18:00,187.009289624,221.598607471,277.537751678
12/22/2013 18:10,187.009289624,221.827342529,277.202181208
12/22/2013 18:20,187.009289624,221.827342529,277.202181208
12/22/2013 18:30,187.009289624,221.827342529,277.202181208
12/22/2013 18:40,187.009289624,221.827342529,277.202181208
12/22/2013 18:50,187.009289624,221.827342529,277.223154362
12/22/2013 19:00,187.009289624,221.827342529,275.629194631
12/22/2013 19:10,187.009289624,221.827342529,271.854026846
12/22/2013 19:20,187.009289624,221.827342529,270.343959732
12/22/2013 19:30,187.009289624,221.827342529,270.343959732
12/22/2013 19:50,187.009289624,221.827342529,270.343959732
12/22/2013 20:00,187.009289624,221.827342529,270.343959732
12/22/2013 20:10,187.009289624,221.827342529,270.763422819
12/22/2013 20:20,187.009289624,221.827342529,270.763422819
12/22/2013 20:30,187.009289624,221.827342529,270.805369128
12/22/2013 20:40,187.009289624,221.827342529,270.742449664
